Item Name,Price (₹),Category,Veg/Non-Veg,Description
Tea,15,Beverages,Veg,Freshly brewed Indian tea
Coffee,30,Beverages,Veg,Traditional Indian coffee
Lassi,50,Beverages,Veg,Sweet yogurt drink
Cold Coffee,70,Beverages,Veg,Chilled coffee with ice cream
Mineral Water,20,Beverages,Veg,Packaged drinking water
Chicken Chowmein,100,Easy Bites,Non-Veg,Stir-fried noodles with chicken
Egg Chowmein,90,Easy Bites,Non-Veg,Stir-fried noodles with egg
Veg Chowmein,80,Easy Bites,Veg,Stir-fried noodles with vegetables
Veg Pakora,130,Easy Bites,Veg,Deep-fried vegetable fritters
Onion Pakora,130,Easy Bites,Veg,Deep-fried onion fritters
Egg Omelet,40,Easy Bites,Non-Veg,Fluffy egg omelet with spices
Egg Bhurji,40,Easy Bites,Non-Veg,Scrambled eggs with spices
Egg Roll,40,Easy Bites,Non-Veg,Rolled paratha with egg stuffing
Chicken Roll,100,Easy Bites,Non-Veg,Rolled paratha with chicken stuffing
Aloo Paratha,60,Parathas & Soups,Veg,Stuffed potato paratha
Mix Veg Paratha,130,Parathas & Soups,Veg,Mixed vegetable stuffed paratha
Paneer Paratha,90,Parathas & Soups,Veg,Cottage cheese stuffed paratha
Plain Paratha,20,Parathas & Soups,Veg,Traditional flatbread
Mix Soup,140,Parathas & Soups,Veg,Mixed vegetable soup
Chicken Soup,120,Parathas & Soups,Non-Veg,Hearty chicken soup
Veg Soup,100,Parathas & Soups,Veg,Fresh vegetable soup
Fish Finger,220,Non-Veg Appetizers,Non-Veg,Crispy fried fish strips
Tandoori Chicken Full,460,Non-Veg Appetizers,Non-Veg,Full portion tandoori chicken
Tandoori Chicken Half,250,Non-Veg Appetizers,Non-Veg,Half portion tandoori chicken
Chicken Tikka,250,Non-Veg Appetizers,Non-Veg,Grilled chicken tikka pieces
Chicken Lollipop,210,Non-Veg Appetizers,Non-Veg,Chicken lollipop with spices
Chicken Stick,220,Non-Veg Appetizers,Non-Veg,Chicken skewers grilled to perfection
Tawa Roti,6,Breads,Veg,Flatbread cooked on tawa
Ghee Tawa Roti,15,Breads,Veg,Flatbread cooked with ghee
Tandoori Roti,15,Breads,Veg,Traditional tandoor-baked roti
Butter Tandoori Roti,30,Breads,Veg,Tandoori roti with butter
Butter Naan,50,Breads,Veg,Soft naan with butter
Garlic Naan,70,Breads,Veg,Naan stuffed with garlic
Rumali Roti,40,Breads,Veg,Thin handkerchief-like roti
Masala Kuleba,90,Breads,Veg,Spiced stuffed bread
Chicken Curry,160,Non-Veg Main Course,Non-Veg,Traditional chicken curry
Chicken Dopiaza,200,Non-Veg Main Course,Non-Veg,Chicken curry with double onions
Chicken Kolhapuri,200,Non-Veg Main Course,Non-Veg,Spicy Kolhapuri style chicken
Chicken Masala,200,Non-Veg Main Course,Non-Veg,Aromatic chicken masala
Chicken Handi,220,Non-Veg Main Course,Non-Veg,Chicken cooked in handi pot
Chicken Tikka Masala,270,Non-Veg Main Course,Non-Veg,Creamy tikka masala curry
Chili Chicken,170,Non-Veg Main Course,Non-Veg,Spicy chili chicken preparation
