Item Name,Price (₹),Category,Veg/Non-Veg,Description
Ganache Cake (1 Pound),500,Cakes,Veg,Rich chocolate ganache cake
Ganache Cake (1/2 Pound),300,Cakes,Veg,Half pound chocolate ganache cake
Ganache Pastry,60,Cakes,Veg,Chocolate ganache pastry
Red Velvet Cake (1 Pound),500,Cakes,Veg,Classic red velvet cake
Red Velvet Cake (1/2 Pound),300,Cakes,Veg,Half pound red velvet cake
Red Velvet Pastry,60,Cakes,Veg,Red velvet pastry
Choco Vancho Cake (1 Pound),500,Cakes,Veg,Chocolate vanilla cake
Choco Vancho Pastry,60,Cakes,Veg,Chocolate vanilla pastry
Saffron Cake (1 Pound),500,Cakes,Veg,Luxurious saffron flavored cake
Saffron Pastry,50,Cakes,Veg,Saffron flavored pastry
Rasmalai Cake (1 Pound),500,Cakes,Veg,Traditional rasmalai inspired cake
Rasmalai Pastry,40,Cakes,Veg,Rasmalai flavored pastry
Choco Truffle Cake (1 Pound),400,Cakes,Veg,Chocolate truffle cake
Choco Truffle Pastry,40,Cakes,Veg,Chocolate truffle pastry
Black Forest Cake (1 Pound),400,Cakes,Veg,Classic black forest cake
Black Forest Pastry,30,Cakes,Veg,Black forest pastry
White Forest Cake (1 Pound),400,Cakes,Veg,White forest cake
White Forest Pastry,30,Cakes,Veg,White forest pastry
Oreo Choco Cake (1 Pound),400,Cakes,Veg,Oreo chocolate cake
Oreo Choco Pastry,30,Cakes,Veg,Oreo chocolate pastry
Butterscotch Cake (1 Pound),400,Cakes,Veg,Butterscotch flavored cake
Butterscotch Pastry,30,Cakes,Veg,Butterscotch pastry
Kiwi Cake (1 Pound),350,Cakes,Veg,Fresh kiwi flavored cake
Kiwi Pastry,40,Cakes,Veg,Kiwi flavored pastry
Strawberry Cake (1 Pound),350,Cakes,Veg,Fresh strawberry cake
Strawberry Pastry,30,Cakes,Veg,Strawberry flavored pastry
Mango Cake (1 Pound),350,Cakes,Veg,Seasonal mango cake
Mango Pastry,30,Cakes,Veg,Mango flavored pastry
Veg Patties,30,Snacks,Veg,Vegetable patties
Paneer Patties,40,Snacks,Veg,Cottage cheese patties
Special Burger,50,Snacks,Veg,Special vegetable burger
Hot Dog,50,Snacks,Veg,Classic hot dog
Doughnut,40,Snacks,Veg,Classic glazed doughnut
Mix Veg Pizza,160,Pizzas,Veg,Mixed vegetable pizza
Corn n Cheese Pizza,170,Pizzas,Veg,Corn and cheese pizza
Paneer Pizza,180,Pizzas,Veg,Cottage cheese pizza
Mushroom Pizza,280,Pizzas,Veg,Mushroom topped pizza
Extra Cheese,50,Pizzas,Veg,Extra cheese topping
