Item Name,Price (₹),Category,Veg/Non-Veg,Description
Tea,10,Beverages,Veg,
Ginger Tea,15,Beverages,Veg,
Coffee,10,Beverages,Veg,
Cold Coffee,70,Beverages,Veg,
Chocolate Milkshake,70,Milkshakes,Veg,
Strawberry Milkshake,70,Milkshakes,Veg,
Black Currant Milkshake,60,Milkshakes,Veg,
Chicken Patties,60,Snacks,Non-Veg,
Veg Patties,50,Snacks,Veg,
Chicken Burger,80,Burgers,Non-Veg,
Veg Burger,70,Burgers,Veg,
Mac & Cheese,60,Pastas,Veg,
Tomato Twist,50,Pastas,Veg,
Samosa Chaat,40,Chaat,Veg,
Classic Toast,15,Toast,Veg,
Butter Toast,20,Toast,Veg,
Cheese Toast,40,Toast,Veg,
French Toast,70,Toast,Veg,
Milky Toast,60,Toast,Veg,
Malai Toast,50,Toast,Veg,
Egg Toast,30,Toast,Non-Veg,
Chocolate Waffle,50,Waffles,Veg,
Red Velvet Waffle,70,Waffles,Veg,
Chicken Pizza,150,Pizzas,Non-Veg,
Paneer Pizza,120,Pizzas,Veg,
Donut,60,Pastries,Veg,
Chocolate Pastry,60,Pastries,Veg,
Black Forest Pastry,60,Pastries,Veg,
Salted French Fries,50,Fries,Veg,
Peri Peri Fries,60,Fries,Veg,
Mayo Loaded Fries,75,Fries,Veg,
Cheesy Potato Shot,80,Fries,Veg,
Cheesy Nuggets,80,Fries,Veg,
Paneer Grill Sandwich,70,Grill Sandwiches,Veg,
Chicken Grill Sandwich,90,Grill Sandwiches,Non-Veg,
Chicken Tandoori Sandwich,110,Grill Sandwiches,Non-Veg,
Classic Maggi (Full),30,Maggi,Veg,
Classic Maggi (Half),20,Maggi,Veg,
Peri Peri Maggi (Full),40,Maggi,Veg,
Peri Peri Maggi (Half),30,Maggi,Veg,
Cheese Maggi (Full),50,Maggi,Veg,
Cheese Maggi (Half),40,Maggi,Veg,
Honey Pancake,60,Pancakes,Veg,
Chocolate Pancake,80,Pancakes,Veg,
